MTMZCode,Asset_ID,NF_ID,Named_Faci,Address,Ownership,Parent_Nam,WardName,SUBURB_NAM,Parenttype,SimpleCode,x,y,Tree_zone,_id
AndeLa-1420-Ab,RDS135710,NFI001420,Anderson Lane,Anderson Lane Sefton,CBC,Anderson Lane,BASS HILL,SEFTON,RDS,A,151.0119926,-33.88605085,67,0ef04082-0b8a-4b6f-86f4-d87377f1e6e4
TorrAv-1437-Bb,RDS094410,NFI001437,Torrington Avenue,Torrington Avenue Sefton,CBC,Torrington Avenue,BASS HILL,SEFTON,RDS,B,151.0123137,-33.88689454,67,1cc7e5ed-631f-4681-b574-8df47368e349
VannLa-2451-Bb,RDS124420,NFI002451,Vannan Lane,Vannan Lane Padstow,CBC,Vannan Lane,REVESBY,PADSTOW,RDS,B,151.0289663,-33.94927613,21,4b538f3b-73ec-4dfc-aa71-11d397274bb3
HeleSt-1439-Ab,RDS043320,NFI001439,Helen Street,Helen Street Sefton,CBC,Helen Street,BASS HILL,SEFTON,RDS,A,151.0111822,-33.88667474,67,6463096b-2f7d-4730-9692-f12a52026e49
ShawLa-1421-Bb,RDS127810,NFI001421,Shaw Lane,Shaw Lane Sefton,CBC,Shaw Lane,BASS HILL,SEFTON,RDS,B,151.0107093,-33.88570252,67,7fa4c0c9-59fb-41e2-a5bd-0b6234ecb421
AndeLa-1440-Bb,RDS135720,NFI001440,Anderson Lane,Anderson Lane Sefton,CBC,Anderson Lane,BASS HILL,SEFTON,RDS,B,151.0118525,-33.88647735,67,9af5fe1c-5a73-4951-b313-6a10dabe1b25
HeleSt-1439-Bb,RDS043320,NFI001439,Helen Street,Helen Street Sefton,CBC,Helen Street,BASS HILL,SEFTON,RDS,B,151.0112972,-33.88665207,67,a68bade9-e413-4998-9ec4-6952b7484741
AndeLa-1420-Bb,RDS135710,NFI001420,Anderson Lane,Anderson Lane Sefton,CBC,Anderson Lane,BASS HILL,SEFTON,RDS,B,151.0119266,-33.88601413,67,f0febe1a-78be-4c8e-9521-fddefa415e1a
TheRi-5222-Bb,RDS093665,NFI005222,The River Road,The River Road Revesby,CBC,The River Road,REVESBY,REVESBY,RDS,B,151.018049,-33.94538803,21,fe7133a7-980d-4e35-a978-da7f3db9a9f8
WellRo-1425-Ab,RDS100730,NFI001425,Wellington Road,Wellington Road Sefton,CBC,Wellington Road,BASS HILL,SEFTON,RDS,A,151.0128973,-33.88573429,67,09569a41-cfec-4bc6-9d77-4421c28fdbb9
WellRo-1425-Bb,RDS100730,NFI001425,Wellington Road,Wellington Road Sefton,CBC,Wellington Road,BASS HILL,SEFTON,RDS,B,151.0130683,-33.88566866,67,2e928cb6-06f0-4281-9f2f-7386501dd579
WellRo-4921-Bb,RDS100725,NFI004921,Wellington Road,Wellington Road Sefton,CBC,Wellington Road,BASS HILL,SEFTON,RDS,B,151.0099282,-33.88526935,67,48016806-aa8d-4afb-8230-f9cb8dc20ae8
WellRo-4921-Ab,RDS100725,NFI004921,Wellington Road,Wellington Road Sefton,CBC,Wellington Road,BASS HILL,SEFTON,RDS,A,151.0101796,-33.88537731,67,ea27c12e-4162-4eda-81ee-6db73ee0b888
MackSt-4306-Bb,RDS584310,NFI004306,Mackinder Street,Mackinder Street Campsie,CBC,Mackinder Street,CANTERBURY,CAMPSIE,RDS,B,151.1024056,-33.92273267,125,67bff037-e6f2-4259-ad79-a660726893c4
SunbSt-3766-Bb,RDS591110,NFI003766,Sunbeam Street,Sunbeam Street Campsie,CBC,Sunbeam Street,CANTERBURY,CAMPSIE,RDS,B,151.1020652,-33.9221784,125,e3e0fd8a-2fa9-4d9f-a7eb-47f2005acc7e
WardRo-4360-Ab,RDS549010,NFI004360,Wardell Road,Wardell Road Earlwood,CBC,Wardell Road,CANTERBURY,EARLWOOD,RDS,A,151.1294805,-33.92561666,143,f8facd09-d527-4a25-aae2-3ba8345f9f7c
EdgaSt-5186-Bb,RDS030030,NFI005186,Edgar Street,Edgar Street Condell Park,CBC,Edgar Street,REVESBY,CONDELL PARK,RDS,B,151.0130787,-33.92128656,39,12da68c6-7417-4369-b880-906028af25d8
