objectid,mb_code_2021,change_flag_2021,sa2_name_2021,Suburb_Name
4290,10047890000,0,Padstow,Padstow
4291,10047900000,0,Padstow,Padstow
4292,10047910000,0,Padstow,Padstow
4293,10047920000,0,Padstow,Padstow
4294,10047940000,0,Padstow,Padstow
4295,10047950000,0,Padstow,Padstow
4296,10047960000,0,Padstow,Padstow
4297,10047970000,0,Padstow,Padstow
4298,10047980000,0,Padstow,Padstow
4299,10047990000,0,Padstow,Padstow
4300,10048002000,0,Padstow,Padstow
4301,10048003000,0,Padstow,Padstow
4302,10048010000,0,Padstow,Padstow
4303,10048020000,0,Padstow,Padstow
4304,10048030000,0,Padstow,Padstow
4305,10048040000,0,Padstow,Padstow
4306,10048050000,0,Padstow,Padstow
4307,10048060000,0,Padstow,Padstow
4308,10048070000,0,Padstow,Padstow
4309,10048080000,0,Padstow,Padstow
4310,10048090000,0,Padstow,Padstow
4311,10048101000,0,Padstow,Padstow
4312,10048102000,0,Padstow,Padstow
4313,10048110000,0,Padstow,Padstow
4314,10048120000,0,Padstow,Padstow
4315,10048130000,0,Padstow,Padstow
4316,10048140000,0,Revesby,Revesby
4317,10048160000,0,Revesby,Revesby Heights
4318,10048170000,0,Padstow,Padstow Heights
4319,10048181000,0,Panania (South) - Picnic Point,East Hills
4320,10048182000,0,Panania (South) - Picnic Point,East Hills
4321,10048190000,0,Panania (South) - Picnic Point,East Hills
4322,10048210000,0,Panania (South) - Picnic Point,East Hills
4323,10048220000,0,Panania (South) - Picnic Point,East Hills
4324,10048230000,0,Panania (South) - Picnic Point,East Hills
4325,10048260000,0,Panania (South) - Picnic Point,East Hills
4326,10048290000,0,Panania (South) - Picnic Point,East Hills
4327,10048300000,0,Panania (South) - Picnic Point,East Hills
4328,10048310000,0,Panania (South) - Picnic Point,East Hills
4329,10048320000,0,Panania (South) - Picnic Point,Picnic Point
4330,10048330000,0,Panania (South) - Picnic Point,Picnic Point
4331,10048340000,0,Panania (South) - Picnic Point,Picnic Point
4332,10048350000,0,Panania (South) - Picnic Point,Picnic Point
4333,10048360000,0,Panania (South) - Picnic Point,Picnic Point
4334,10048370000,0,Panania (South) - Picnic Point,Picnic Point
4335,10048380000,0,Panania (South) - Picnic Point,Picnic Point
4336,10048390000,0,Panania (South) - Picnic Point,Picnic Point
4337,10048400000,0,Panania (South) - Picnic Point,Picnic Point
4338,10048410000,0,Panania (South) - Picnic Point,Panania
4339,10048420000,0,Panania (South) - Picnic Point,Panania
4340,10048430000,0,Panania (South) - Picnic Point,Picnic Point
4341,10048440000,0,Panania (South) - Picnic Point,Picnic Point
4342,10048450000,0,Panania (South) - Picnic Point,Picnic Point
4343,10048470000,0,Panania (South) - Picnic Point,Picnic Point
4344,10048490000,0,Panania (South) - Picnic Point,Panania
4345,10048500000,0,Panania (South) - Picnic Point,Picnic Point
4346,10048510000,0,Panania (South) - Picnic Point,Picnic Point
4347,10048520000,0,Panania (South) - Picnic Point,Picnic Point
4348,10048530000,0,Panania (South) - Picnic Point,Picnic Point
4349,10048540000,0,Panania (South) - Picnic Point,Picnic Point
4350,10048550000,0,Panania (South) - Picnic Point,Picnic Point
4351,10048560000,0,Panania (South) - Picnic Point,Picnic Point
4352,10048570000,0,Panania (South) - Picnic Point,Picnic Point
4353,10048580000,0,Panania (South) - Picnic Point,Picnic Point
4354,10048590000,0,Panania (South) - Picnic Point,Picnic Point
4355,10048600000,0,Panania (South) - Picnic Point,Picnic Point
4356,10048610000,0,Panania (South) - Picnic Point,Picnic Point
4357,10048620000,0,Panania (South) - Picnic Point,Picnic Point
4358,10048630000,0,Panania (South) - Picnic Point,Picnic Point
4359,10048640000,0,Panania (South) - Picnic Point,Picnic Point
4360,10048650000,0,Panania (South) - Picnic Point,Picnic Point
